id,URL,headline,author,date
0,https://www.theverge.com/2023/3/30/23664044/e3-cancelled-isnt-coming-back,E3 isn’t coming back,Jay Peters,Two hours ago
1,https://www.theverge.com/2023/3/30/23660652/asus-rog-flow-z13-acronym-gaming-laptop-tablet-review,"Y’all, this laptop is too much",Monica Chin,5:30 AM GMT+5:30
2,https://www.theverge.com/2023/3/30/23663997/block-hindenburg-fraud-statement,"Block knows you have questions, and it doesn’t have good answers",Elizabeth Lopatto,5:05 AM GMT+5:30
3,https://www.theverge.com/2023/3/30/23612467/framework-laptop-16-battery-parts-games,The Framework Laptop 16 is trying to bring back snap-on removable batteries,Sean Hollister,Mar 30
4,https://www.theverge.com/2023/3/30/23663202/carbon-capture-electricity-gas-coal-power-plants-climate-change,Carbon capture will probably make electricity more expensive,Justine Calma,3:34 AM GMT+5:30
5,https://www.theverge.com/2023/3/30/23662130/arc-mobile-browser-hands-on-ios,Arc’s mobile browser is here — and it’s not really a web browser at all,David Pierce,Mar 30
6,https://www.theverge.com/2023/3/30/23663989/summer-gaming-events-2023-e3-canceled-news-announcements,"Summer gaming events 2023: with E3 cancelled, here’s what’s next",Jay Peters,4:28 AM GMT+5:30
7,https://www.theverge.com/23663889/e3-summer-gaming-events-2023-game-fest-xbox-starfield-ubisoft,"E3 might be gone, but this summer still has some big gaming events to watch",Jay Peters,3:52 AM GMT+5:30
8,https://www.theverge.com/2023/3/30/23663862/e3-2023-cancelled-esa-reedpop,"I never went to E3, but I’ll miss it anyways",Ash Parrish,3:51 AM GMT+5:30
9,https://www.theverge.com/2023/3/30/23663618/ford-f-150-lightning-price-hike-original-price,The F-150 Lightning now starts at $20K more than when it was announced,Mitchell Clark,3:35 AM GMT+5:30
10,https://www.theverge.com/2023/3/30/23660456/e3-2023-canceled,E3 2023 has been canceled,Jay Peters, and 
11,https://www.theverge.com/2023/3/30/23663693/netflix-basic-with-ads-supported-apple-tv,You can now use Netflix’s cheaper ads plan on your Apple TV,Jay Peters,1:43 AM GMT+5:30
12,https://www.theverge.com/2023/3/30/23663339/amazon-sues-sellers-copyright-takedown-competitors,Amazon sues sellers for issuing bogus takedown requests on competitors,Mitchell Clark,12:58 AM GMT+5:30
13,https://www.theverge.com/2023/3/30/23663457/star-trek-starfleet-academy-paramount-plus-streaming-tv-2024,Star Trek: Starfleet Academy will follow the most ambitious students in the galaxy,Callie Wright,12:48 AM GMT+5:30
14,https://www.theverge.com/2023/3/30/23662961/the-last-of-us-pc-patch-performance-fixes,The Last of Us on PC gets patches to fix some performance issues,Tom Warren,Mar 30
15,https://www.theverge.com/2023/3/30/23663206/buzzfeed-ai-travel-guides-buzzy,BuzzFeed is using AI to write SEO-bait travel guides,Jay Peters,Mar 30
16,https://www.theverge.com/2023/3/30/23662976/overdrive-libby-ebook-lending-library-apps-transition,The OverDrive library ebook app is shutting down on May 1st,Umar Shakir,Mar 30
17,https://www.theverge.com/23659022/samsung-galaxy-a54-phone-preorder-deal-sale,Where to preorder Samsung’s Galaxy A54 phone,Sheena Vasani,Mar 30
18,https://www.theverge.com/good-deals/2023/3/30/23662167/ring-video-doorbell-pro-2-ps5-bundle-amazon-kindle-paperwhite-deal-sale,Ring’s best video doorbell is 30 percent off today for Verge readers,Brandon Widder,Mar 30
19,https://www.theverge.com/2023/3/30/23662996/suzume-english-dub-trailer-makoto-shinkai,The English dub trailer for Makoto Shinkai’s Suzume is for closers,Charles Pulliam-Moore,Mar 30
20,https://www.theverge.com/2023/3/30/23662000/waves-audio-engineering-plugins-subscription-creative-access-perpetual-license,Music producers revolted against an app’s subscription scheme — and won,Andrew Marino,Mar 30
21,https://www.theverge.com/2023/3/30/23663087/waymo-retire-chrysler-pacifica-minivan-ev-robotaxi,Waymo retires its Chrysler Pacifica minivans as it switches to an all-electric robotaxi fleet,Andrew J. Hawkins,Mar 30
22,https://www.theverge.com/2023/3/30/23663056/netflix-scott-pilgrim-anime-cast,Netflix is bringing back the cast of Scott Pilgrim vs. The World for its anime series,Andrew Webster,Mar 30
23,https://www.theverge.com/2023/3/28/23660538/google-partnership-adt-self-setup-diy-home-security,Google’s ADT partnership finally has a new home security product to show for it,Jennifer Pattison Tuohy,Mar 30
24,https://www.theverge.com/2023/3/30/23662940/deepfake-viral-ai-misinformation-midjourney-stops-free-trials,AI image generator Midjourney stops free trials but says influx of new users to blame,James Vincent,Mar 30
25,https://www.theverge.com/22789248/oura-ring-3-review-sleep-tracker-fitness-tracker,Oura Ring Generation 3 review: a relationship for the long term,Victoria Song,Mar 30
26,https://www.theverge.com/2023/3/30/23661426/microsoft-azure-bing-office365-security-exploit-search-results,Huge Microsoft exploit allowed users to manipulate Bing search results and access Outlook email accounts,Jess Weatherbed,Mar 30
27,https://www.theverge.com/2023/3/30/23662101/ftc-openai-investigation-request-caidp-gpt-text-generation-bias,"FTC should stop OpenAI from launching new GPT models, says AI policy group",Adi Robertson,Mar 30
28,https://www.theverge.com/2023/3/30/23662873/roku-layoffs-2023-200-employees,Roku is laying off another 6 percent of its workforce,Jon Porter,Mar 30
29,https://www.theverge.com/2023/3/30/23662832/twitter-api-tiers-free-bot-novelty-accounts-basic-enterprice-monthly-price,"Twitter announces new API pricing, posing a challenge for small developers",Jon Porter,Mar 30
30,https://www.theverge.com/2023/3/30/23660187/marshall-zound-merger-acquisition-bluetooth-headphones-speakers-amps,"Marshall, the iconic amp manufacturer, is being acquired by Marshall speaker maker Zound",Jon Porter,Mar 30
